FIPS:Block,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,FIPS:County,FIPS:State,Cantidad de Casos
050119501002058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050219505001040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050279505002083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050310002003022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050310004013005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050330202032033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050350301023003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050350308061040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050479502005027,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050510120011334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050534701001029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050690005023058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050690025001032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050719520003012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050850201011039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050850201032034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050850202053003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050850207002042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
050930103002035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051059528003107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051074803003022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051139502005057,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051159509003029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051159514002073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190021031022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190024081005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190024083008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190027004017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190032024018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190036054007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190036072012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190042073005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190044001017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051190046002008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051239604001065,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051239606006030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051250101022012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
051250101033012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
